catalognumber,collectorfamilyname,collectorinitials,associatedcollectors,year,month,day,verbatimeventdate,scientificname,scientificnameauthorship,identificationqualifier,family,identifiedby,dateidentified,country,stateprovince,county,locality,latdeg,lngdeg,elevationnumber,elevationunits,verbatimelevation,verbatimcoordinates,georeferencedby,georeferencesources,host,occurrenceremarks,lifestage,sex,individualcount,samplingprotocol,preparations,typestatus,ownerinstitutioncode,basisofrecord,language
UMSP000142963,,,,,,,,,,,Buprestidae,,,,,,,,,,,,,,,,,,,,,,,,,
UMSP000142964,,,,,,,,,,,Buprestidae,,,,,,,,,,,,,,,,,,,,,,,,,
UMSP000142965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMSP000142966,Knull,D.J.,J.N. Knull,1937,6,8,VI-8-37,Acmaeoderopsis varipilis,Van Dyke,,Buprestidae,J.N. Knull,1938,USA,Minnesota,Santa Rita,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142967,Parker,F.H.,,1938,6,9,"June 9, 1938",Acmaeoderopsis varipilis,Van Dyke,,Buprestidae,F.H. Parker,1940,USA,Arizona,Globe,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142968,Parker,F.H.,,1938,6,9,"June 9, 1938",Acmaeoderopsis varipilis,Van Dyke,,Buprestidae,F.H. Parker,1940,USA,Arizona,Globe,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142969,Parker,F.H.,,1938,6,9,"June 9, 1938",Acmaeoderopsis varipilis,Van Dyke,,Buprestidae,F.H. Parker,1940,USA,Arizona,Globe,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142970,Knull,D.J.,J.N. Knull,1937,6,8,VI-8-37,Acmaeoderopsis varipilis,Van Dyke,,Buprestidae,J.N. Knull,,USA,Minnesota,Santa Rita,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142971,Knull,J.N.,,1922,,,1922,Actenodes acornis,Say,,Buprestidae,J.N. Knull,,USA,New Jersey,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142972,Philips,E.H.,,1936,6,12,"June 12, 1936",Actenodes acornis,Say,,Buprestidae,Knull,1938,USA,New Jersey,Radburn,On an elm,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142973,Lugger,O.,,,,,,Actenodes acornis,Say,,Buprestidae,J.N. Knull,1922,USA,New Jersey,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142974,Lugger,O. ,,,,,,Actenodes acornis,Say,,Buprestidae,J.N. Knull,1922,USA,New Jersey,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142975,,,,,,,,Actenodes acornis,Say,,Buprestidae,J.N. Knull,1922,USA,Minnesota,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMSP000142977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMSP000142978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMSP000142979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMSP000142980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMSP000142981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMSP000142982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMSP000142983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMSP000333385,Anderson,R.,,1939,7,8,"July 8, 1939",Anthaxia aenecogaster,Laporte & Gory,Cast.,buprestidae,J.N. Knull,1942,USA,California,Modoc,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333384,Anderson,R.,,1939,7,8,"July 8, 1939",Anthaxia aenecogaster,Laporte & Gory,Cast.,buprestidae,J.N. Knull,1942,USA,California,Modoc,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333383,Telford,H.S.,,1939,7,14,"July 14, 1939",Anthaxia aenecogaster,Laporte & Gory,Cast.,buprestidae,J.N. Knull,1942,USA,South Dakota,Pennington,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
